min_thres,max_thres,mean,topkmean,quantile_50,quantile_75,quantile_90
0.1,0.5,0.98,0.6,0.98,0.98,0.96
0.1,0.6,0.96,0.44,0.96,0.96,0.98
0.1,0.7,0.9,0.46,0.98,0.96,0.9
0.1,0.8,0.94,0.56,0.96,0.94,0.9
0.1,0.9,0.86,0.36,0.92,0.9,0.86
0.15,0.5,0.96,0.46,0.96,0.98,0.9
0.15,0.6,0.96,0.48,0.94,0.98,0.96
0.15,0.7,0.94,0.58,0.92,0.96,0.94
0.15,0.8,0.92,0.52,1.0,0.98,0.88
0.15,0.9,0.94,0.62,0.94,0.94,0.92
0.2,0.5,0.96,0.62,0.96,0.96,0.92
0.2,0.6,0.94,0.38,0.92,0.96,0.9
0.2,0.7,0.98,0.44,0.96,0.98,0.98
0.2,0.8,0.9,0.44,0.92,0.92,0.84
0.2,0.9,0.94,0.5,0.92,0.96,0.86
0.25,0.5,0.94,0.5,1.0,0.98,0.88
0.25,0.6,0.96,0.44,0.94,0.96,0.86
0.25,0.7,0.96,0.56,0.96,0.98,0.94
0.25,0.8,0.94,0.42,0.96,0.94,0.86
0.25,0.9,0.94,0.48,0.98,0.98,0.94
0.3,0.5,0.96,0.44,0.96,0.94,0.86
0.3,0.6,0.94,0.6,0.98,0.98,0.9
0.3,0.7,0.98,0.54,0.96,0.98,0.96
0.3,0.8,0.94,0.54,0.96,0.96,0.86
0.3,0.9,0.92,0.48,0.98,0.96,0.9
